Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
"Gino, Alex",Melissa (George),Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Gino, Alex",Rick,Banned from Libraries,,,,,Florida,The School District of Palm Beach County,Jul-22,Legislative Action,2022-2023
"Gino, Alex",Rick,Banned from Libraries and Classrooms,,,,,Texas,Lake Travis Independent School District,Mar-23,Informal Challenge,2022-2023
"Glasgow, Kathleen",Girl in Pieces,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Glasgow, Kathleen",Girl in Pieces,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Glasgow, Kathleen",Girl in Pieces,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Glines, Abbi",Making a Play,Banned Pending Investigation,,,,The Field Party,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Glines, Abbi",The Vincent Boys,Banned from Libraries,,,,The Vincent Boys,Florida,Collier County Public Schools,Mar-23,Administration,2022-2023
"Goff, Robert",The Essential Salvador Dali,Banned Pending Investigation,,,,Essential Series,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Goffin, Josse",Silent Christmas,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Goldin, Barbara Diamond",Journeys with Elijah: Eight Tales of the Prophet,Banned from Libraries and Classrooms,,"Pinkney, Jerry",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Gonzales, Kathryn","Trans+: Love, Sex, Romance, and Being You",Banned Pending Investigation,"Rayne, Karen",,,,Virginia,Spotsylvania County Public Schools,Apr-23,Formal Challenge,2022-2023
"González, Borja",A Gift for a Ghost,Banned Pending Investigation,,,"Douglas, Lee",,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Gonzalez, Christina Diaz",Concealed,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"González, Rigoberto",Antonio's Card/La tarjeta de Antonio,Banned Pending Investigation,,"Álvarez, Cecilia",,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Gorman, Amanda",The Hill We Climb: An Inaugural Poem for the Country,Banned from Libraries,,,,,Florida,Miami-Dade Public Schools,Mar-23,Formal Challenge,2022-2023
"Gottfred, B. T.",Forever for a Year,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Gottfred, B. T.",Forever for a Year,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Banned from Libraries and Classrooms,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Gottfred, B. T.",The Nerdy and the Dirty,Banned Pending Investigation,,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Gottfred, B. T.",The Nerdy and the Dirty,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Apr-23,Formal Challenge,2022-2023
"Gottlieb, Iris",Seeing Gender: An Illustrated Guide to Identity and Expression,Banned from Libraries and Classrooms,,,,,Virginia,Loudoun County Public Schools,Nov-22,Formal Challenge,2022-2023
"Gould, Courtney",Dead and the Dark,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Gouveia, Georgette",The Essential Mary Cassatt,Banned Pending Investigation,,,,Essential Series,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Gratz, Alan",Ban This Book,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gratz, Alan",Code of Honor,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Gratz, Alan",Ground Zero,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gratz, Alan",Ground Zero,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Gratz, Alan",Ground Zero,Banned from Libraries and Classrooms,,,,,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Gratz, Alan",Two Degrees,Banned from Classrooms,,,,,Pennsylvania,Kutztown School District,Jan-23,Informal Challenge,2022-2023
"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Gray, Mila",Come Back to Me,Banned from Libraries and Classrooms,,,,Come Back to Me,Kansas,Gardner Edgerton School District 231,Mar-23,Formal Challenge,2022-2023
"Gray, Mila",Run Away With Me,Banned from Libraries and Classrooms,,,,Come Back to Me,Kansas,Gardner Edgerton School District 231,Mar-23,Formal Challenge,2022-2023
"Gray, Mila",Stay with Me,Banned from Libraries and Classrooms,,,,Come Back to Me,Kansas,Gardner Edgerton School District 231,Mar-23,Formal Challenge,2022-2023
"Graziadei, A. L.",Icebreaker,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,Florida,Flagler Schools,Jun-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Florida,Lake County Schools,Fall 2022,Legislative Action,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Florida,School District of Osceola County,Mar-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,Florida,Volusia County Schools,Jan-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,Michigan,Belding Area Schools,Apr-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,Michigan,Chippewa Valley Schools,Feb-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,Nebraska,Plattsmouth Community Schools,Apr-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,New York,Mahopac Central School District,Dec-22,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,North Carolina,Catawba County Schools,May-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,North Carolina,Wilkes County Schools,Jan-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Utah,Davis School District,Feb-23,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Virginia,Hanover County Public Schools,Jun-23,Informal Challenge,2022-2023
"Green, John",Looking for Alaska,Banned from Libraries and Classrooms,,,,,Virginia,Spotsylvania County Public Schools,Mar-23,Administration,2022-2023
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,,Wyoming,Park County School District #1,Feb-23,Administration,2022-2023
"Green, John",The Fault in Our Stars,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Green, John",Turtles All the Way Down,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Green, John","Will Grayson, Will Grayson",Banned Pending Investigation,"Levithan, David",,,"Will Grayson, Will Grayson",Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Green, Katie",Lighter Than My Shadow,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Green, Katie",Lighter Than My Shadow,Banned from Libraries,,,,,Missouri,Raytown Quality Schools,Sep-22,Legislative Action,2022-2023
"Green, Katie",Lighter Than My Shadow,Banned from Libraries and Classrooms,,,,,Missouri,Rockwood School District,Aug-22,Legislative Action,2022-2023
"Green, Katie",Lighter Than My Shadow,Banned from Libraries,,,,,Missouri,Webster Groves School District,Sep-22,Legislative Action,2022-2023
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",Banned from Libraries and Classrooms,,,,,Missouri,Rockwood School District,Aug-22,Legislative Action,2022-2023
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",Banned Pending Investigation,,,,,North Carolina,Charlotte-Mecklenburg Schools,Feb-23,Informal Challenge,2022-2023
"Green, Tim",Home Run,Banned from Libraries,,,,Baseball Great,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Green, Tim",Left Out,Banned from Libraries,,,,,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Greenberg, Blu",King Solomon and the Queen of Sheba,Banned from Libraries and Classrooms,"Tarry, Linda","Katz, Avi",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Greene, Rhonda Gowler",The Stable Where Jesus Was Born,Banned from Libraries and Classrooms,,"Gaber, Susan",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Greenman, Catherine",Hooked,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Greenough, Sarah",André Kertész,Banned Pending Investigation,"Gurbo, Robert; Kennel, Sarah",,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Gregorio, I. W.",None of the Above,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Gregorio, I. W.",None of the Above,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Grimes, Nikki",Ordinary Hazards,Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Grisham, John",Kid Lawyer,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Grisham, John",The Abduction,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Grisham, John",The Accomplice,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Grisham, John",The Accused,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Grisham, John",The Activist,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Grisham, John",The Fugitive,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Grisham, John",The Scandal,Banned from Libraries,,,,Theodore Boone,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Groff, Lauren",Fates and Furies,Banned from Libraries and Classrooms,,,,,Florida,Miami-Dade Public Schools,Mar-23,Administration,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,Florida,Brevard Public Schools,Nov-22,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Florida,Highlands Schools,Mar-23,Administration,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Florida,Orange County Public Schools,May-23,Informal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Florida,Santa Rosa County District Schools,Jun-23,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Michigan,Chippewa Valley Schools,Feb-23,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Apr-23,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Utah,Canyons School District,AY 2022-2023,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Utah,Davis School District,Mar-23,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,Utah,Washington County School District,Jun-23,Administration,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Virginia,Hanover County Public Schools,Jun-23,Informal Challenge,2022-2023
"Gruen, Sara",Water for Elephants,Banned from Libraries and Classrooms,,,,,Virginia,Spotsylvania County Public Schools,Mar-23,Administration,2022-2023
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Gruitrooy, Gerhard",Degas: Impressions of a Great Master,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned Pending Investigation,The Freedom Writers,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned from Libraries and Classrooms,The Freedom Writers,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned Pending Investigation,The Freedom Writers,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned Pending Investigation,The Freedom Writers,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned from Libraries,The Freedom Writers,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned from Libraries,The Freedom Writers,,,,Utah,Davis School District,Mar-23,Formal Challenge,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned from Libraries,The Freedom Writers,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned from Libraries and Classrooms,The Freedom Writers,,,,Utah,Washington County School District,Feb-23,Administration,2022-2023
"Gruwell, Erin",The Freedom Writers Diary,Banned Pending Investigation,The Freedom Writers,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Gudsnuk, Kristen",Back to the Drawing Board,Banned Pending Investigation,,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gudsnuk, Kristen",Making Friends,Banned Pending Investigation,,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gudsnuk, Kristen",Third Time's a Charm,Banned Pending Investigation,,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gurtler, Janet",You Too?: 25 Voices Share Their #MeToo Stories,Banned Pending Investigation,"Blount, Patty; Brown, Jennifer; Brownlee, Tiffany; Capelle, Jess; Clifford, Kenna; Darrows, Eva; Davis, Dana L.; Davis, Ronni; Deen, Natasha; DiDomizio, Nicolas; Forna, Namina; Glass, Jenna; Hall, Teri; Hopkins, Ellen; Lee, Mackenzi; Mitchell, Saundra; Novak, Ali; Porinchak, Eve; Rainfield, Cheryl; Revis, Beth; Rogers, Andrea L.; Seitz, Lulabel; Thrace, Mischa; Zhang, Amy",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Gurtler, Janet",You Too?: 25 Voices Share Their #MeToo Stories,Banned from Libraries and Classrooms,"Blount, Patty; Brown, Jennifer; Brownlee, Tiffany; Capelle, Jess; Clifford, Kenna; Darrows, Eva; Davis, Dana L.; Davis, Ronni; Deen, Natasha; DiDomizio, Nicolas; Forna, Namina; Glass, Jenna; Hall, Teri; Hopkins, Ellen; Lee, Mackenzi; Mitchell, Saundra; Novak, Ali; Porinchak, Eve; Rainfield, Cheryl; Revis, Beth; Rogers, Andrea L.; Seitz, Lulabel; Thrace, Mischa; Zhang, Amy",,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Guterson, David",Snow Falling on Cedars,Banned from Libraries and Classrooms,,,,,Virginia,Madison County Public Schools,Jan-23,Administration,2022-2023
"Gyasi, Yaa",Homegoing,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Gyasi, Yaa",Homegoing,Banned from Libraries,,,,,North Carolina,Cumberland County Schools,Apr-23,Administration,2022-2023
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Gyasi, Yaa",Homegoing,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Feb-23,Administration,2022-2023
"Ha, Robin",Almost American Girl,Banned from Classrooms,,,,,New Jersey,Watchung Borough School District,May-23,Informal Challenge,2022-2023
"Haack, Daniel",Maiden and Princess,Banned Pending Investigation,"Galupo, Isabel","Human, Becca",,,Florida,Escambia County Public Schools,Mar-23,Formal Challenge,2022-2023
"Hacht, Anne Marie","Literary Newsmakers for Students, Vol. 1",Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Hale, Shannon",Friends Forever,Banned from Libraries and Classrooms,,"Pham, LeUyen",,Friends,Florida,School District of Manatee County,Jun-23,Administration,2022-2023
"Hale, Shannon",Friends Forever,Banned from Libraries,,"Pham, LeUyen",,Friends,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Hall, Michael",Red: A Crayon's Story,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Hall, Michael",Red: A Crayon's Story,Banned from Classrooms,,,,,Florida,St. Lucie Public Schools,Oct-22,Administration,2022-2023
"Hall, Teri",The Line,Banned from Libraries,,,,The Line,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Halperin, Wendy Anderson",Love is...,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Han, Jenny","Always and Forever, Lara Jean",Banned from Libraries,,,,To All the Boys I've Loved Before,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Han, Jenny",P. S. I Still Love You,Banned from Libraries,,,,To All the Boys I've Loved Before,Texas,Frisco Independent School District,Aug-22,Administration,2022-2023
"Han, Jenny",We'll Always Have Summer,Banned from Libraries,,,,Summer,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Handler, Daniel",Why We Broke Up,Banned Pending Investigation,,"Kalman, Maira",,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Handyside, Christopher",Blues: A History of American Music,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Hannah-Jones, Nikole",The 1619 Project: A New Origin Story,Banned Pending Investigation,The New York Times Magazine,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Hannah-Jones, Nikole",The 1619 Project: Born on the Water,Banned from Classrooms,"Watson, Renée","Smith, Nikkolas",,,Florida,The School District of Palm Beach County,Jul-22,Legislative Action,2022-2023
"Harris, Charlaine",Dead Until Dark,Banned from Libraries,,,,Sookie Stackhouse,Florida,Collier County Public Schools,Mar-23,Administration,2022-2023
"Harris, Charlaine",Dead Until Dark,Banned from Libraries and Classrooms,,,,Sookie Stackhouse,Florida,Duval County Public Schools,Mar-23,Administration,2022-2023
"Harris, Charlaine",Dead Until Dark,Banned Pending Investigation,,,,Sookie Stackhouse,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Harris, Charlaine",Dead Until Dark,Banned Pending Investigation,,,,Sookie Stackhouse,Florida,Highlands Schools,Sep-22,Informal Challenge,2022-2023
"Harris, Duchess",Protesting Police Violence in Modern America,Banned Pending Investigation,,,,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Harris, Duchess",Race and Policing in Modern America,Banned Pending Investigation,"Van , R. L.",,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Harris, Duchess",Race and Policing in Modern America,Banned Pending Investigation,"Van , R. L.",,,,Florida,School District of Manatee County,Aug-22,Legislative Action,2022-2023
"Harris, Duchess",Russian Hacking in American Elections (Special Reports),Banned Pending Investigation,"Lusted, Marcia Amidon",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned from Libraries and Classrooms,,"Emberley, Michael",,,Florida,Broward County Public Schools,Oct-22,Informal Challenge,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned from Libraries and Classrooms,,"Emberley, Michael",,,Florida,Duval County Public Schools,Mar-23,Administration,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned from Libraries and Classrooms,,"Emberley, Michael",,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned from Libraries and Classrooms,,"Emberley, Michael",,,Florida,Orange County Public Schools,May-23,Informal Challenge,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,,West Virginia,Wood County Schools,Feb-23,Formal Challenge,2022-2023
"Hartman, Bob",The Morning of the World,Banned from Libraries and Classrooms,,"McGuire, Michael",,What Was It Like? Bible Stories,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hartzler, Aaron",What We Saw,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Informal Challenge,2022-2023
"Hasler, Nikol",Sex: An Uncensored Introduction,Banned from Libraries and Classrooms,,"Capozzola, Michael",,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,2022-2023
"Hastings, Selina",The Children's Illustrated Bible,Banned from Libraries and Classrooms,,"Thomas, Eric",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hastings, Selina",The Illustrated Jewish Bible for Children,Banned from Libraries and Classrooms,,"Thomas, Eric; Burch, Amy",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hatke, Ben",Mighty Jack and the Goblin King,Banned from Libraries,,,,Mighty Jack,Florida,Martin County Schools,Sep-22,Formal Challenge,2022-2023
"Hawking, Stephen",Black Holes and Baby Universes and Other Essays,Banned Pending Investigation,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Hawkins, Jim W.",Baton Twirling is for Me,Banned from Libraries and Classrooms,,,,Sports for Me Books,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hawkins, Rachel",Her Royal Highness,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Hayward, Linda",Baby Moses,Banned from Libraries and Classrooms,,"Henry, Barb",,Step into Reading,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hayward, Linda",Noah's Ark: A Story from the Bible,Banned from Libraries and Classrooms,,"Wright, Freire",,Step into Reading,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hazlewood, Robin",An Introduction to Drawing: An Artist's Guide to Skills & Techniques,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Heine, Florian",13 Art Inventions Children Show Know,Banned from Libraries and Classrooms,,,,13... Children Should Know,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Hendriks, Jenni",Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Hendriks, Jenni",Unpregnant,Banned from Libraries and Classrooms,"Caplan, Ted",,,,Missouri,Nixa Public Schools,Jun-23,Unclear,2022-2023
"Hennessey, Jonathan",The Gettysburg Address: A Graphic Adaptation,Banned Pending Investigation,"McConnell, Aaron",,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
